file,bbox
100001.jpg,"(66, 174, 103, 230)"
100001.jpg,"(149, 106, 161, 119)"
100001.jpg,"(177, 552, 202, 592)"
100001.jpg,"(182, 268, 241, 321)"
100001.jpg,"(315, 371, 338, 404)"
100001.jpg,"(347, 458, 376, 502)"
100002.jpg,"(195, 55, 308, 184)"
100003.jpg,"(136, 261, 204, 321)"
100004.jpg,"(144, 264, 218, 330)"
100005.jpg,"(67, 197, 201, 320)"
100005.jpg,"(103, 378, 132, 414)"
100005.jpg,"(205, 320, 237, 360)"
100006.jpg,"(179, 330, 200, 355)"
100006.jpg,"(237, 187, 271, 229)"
100006.jpg,"(251, 336, 263, 360)"
100007.jpg,"(111, 199, 125, 214)"
100008.jpg,"(46, 521, 57, 533)"
100008.jpg,"(112, 325, 128, 393)"
100008.jpg,"(127, 264, 219, 326)"
100008.jpg,"(142, 97, 170, 129)"
100008.jpg,"(178, 501, 199, 539)"
100008.jpg,"(236, 140, 272, 187)"
100008.jpg,"(261, 316, 306, 392)"
100009.jpg,"(273, 180, 353, 241)"
100010.jpg,"(74, 215, 164, 323)"
100011.jpg,"(141, 235, 269, 399)"
100013.jpg,"(208, 342, 284, 454)"
100014.jpg,"(68, 266, 131, 322)"
100014.jpg,"(226, 265, 299, 339)"
100014.jpg,"(251, 470, 262, 485)"
100014.jpg,"(253, 201, 263, 215)"
100014.jpg,"(355, 425, 399, 447)"
100015.jpg,"(213, 288, 242, 323)"
100016.jpg,"(203, 279, 281, 371)"
100017.jpg,"(197, 276, 265, 364)"
100018.jpg,"(130, 175, 238, 273)"
100019.jpg,"(171, 316, 240, 416)"
100019.jpg,"(175, 454, 219, 540)"
100021.jpg,"(183, 214, 275, 319)"
100022.jpg,"(240, 320, 271, 365)"
100023.jpg,"(204, 323, 259, 414)"
100024.jpg,"(170, 277, 207, 341)"
100024.jpg,"(211, 41, 304, 126)"
100025.jpg,"(208, 342, 284, 454)"
100026.jpg,"(196, 285, 274, 375)"
100027.jpg,"(103, 268, 138, 334)"
100027.jpg,"(106, 159, 130, 229)"
100027.jpg,"(184, 281, 233, 316)"
100029.jpg,"(129, 283, 177, 363)"
100030.jpg,"(139, 328, 204, 410)"
100031.jpg,"(221, 276, 286, 328)"
100032.jpg,"(168, 273, 298, 365)"
100033.jpg,"(204, 323, 259, 414)"
100034.jpg,"(289, 314, 340, 364)"
100035.jpg,"(109, 233, 287, 373)"
100036.jpg,"(171, 193, 278, 327)"
100038.jpg,"(141, 414, 182, 456)"
100038.jpg,"(236, 185, 275, 273)"
100039.jpg,"(207, 313, 276, 384)"
100040.jpg,"(169, 153, 297, 285)"
100041.jpg,"(268, 323, 331, 366)"
100042.jpg,"(137, 211, 202, 280)"
100043.jpg,"(143, 270, 255, 392)"
100044.jpg,"(137, 159, 168, 223)"
100045.jpg,"(159, 231, 268, 300)"
100046.jpg,"(231, 317, 282, 403)"
100047.jpg,"(109, 233, 287, 373)"
100048.jpg,"(110, 152, 139, 190)"
100048.jpg,"(144, 282, 255, 395)"
100048.jpg,"(208, 129, 310, 203)"
100049.jpg,"(46, 426, 58, 441)"
100049.jpg,"(81, 143, 97, 167)"
100049.jpg,"(98, 74, 265, 281)"
100050.jpg,"(168, 273, 298, 365)"
100051.jpg,"(202, 277, 256, 400)"
100053.jpg,"(166, 314, 240, 370)"
100054.jpg,"(67, 290, 201, 362)"
100055.jpg,"(197, 266, 277, 362)"
100056.jpg,"(178, 321, 269, 419)"
100057.jpg,"(40, 345, 103, 426)"
100057.jpg,"(136, 260, 232, 332)"
100057.jpg,"(167, 344, 286, 438)"
100058.jpg,"(93, 175, 147, 273)"
100059.jpg,"(186, 231, 260, 298)"
100060.jpg,"(128, 187, 173, 233)"
100061.jpg,"(136, 318, 206, 392)"
100062.jpg,"(154, 227, 316, 397)"
100062.jpg,"(212, 145, 235, 186)"
100064.jpg,"(274, 179, 347, 233)"
100065.jpg,"(199, 279, 271, 331)"
100066.jpg,"(120, 275, 178, 334)"
100067.jpg,"(106, 455, 169, 504)"
100067.jpg,"(146, 64, 225, 132)"
100068.jpg,"(137, 277, 179, 315)"
100069.jpg,"(178, 221, 274, 309)"
100070.jpg,"(238, 368, 272, 413)"
100071.jpg,"(173, 279, 206, 315)"
100072.jpg,"(178, 221, 274, 309)"
100073.jpg,"(221, 276, 286, 328)"
100074.jpg,"(180, 311, 246, 389)"
100075.jpg,"(79, 101, 221, 263)"
100075.jpg,"(79, 270, 200, 408)"
100075.jpg,"(233, 185, 267, 225)"
100075.jpg,"(280, 284, 301, 316)"
100075.jpg,"(308, 326, 345, 367)"
100075.jpg,"(344, 364, 415, 411)"
100076.jpg,"(182, 234, 285, 417)"
100077.jpg,"(201, 224, 272, 329)"
100078.jpg,"(139, 226, 236, 332)"
100079.jpg,"(157, 271, 286, 357)"
100080.jpg,"(171, 257, 293, 398)"
100081.jpg,"(79, 101, 221, 263)"
100081.jpg,"(79, 270, 200, 408)"
100081.jpg,"(233, 185, 267, 225)"
100081.jpg,"(280, 284, 301, 316)"
100081.jpg,"(308, 326, 345, 367)"
100081.jpg,"(344, 364, 415, 411)"
100082.jpg,"(204, 193, 248, 274)"
100083.jpg,"(180, 243, 242, 349)"
100084.jpg,"(206, 287, 275, 377)"
100085.jpg,"(173, 262, 239, 320)"
100086.jpg,"(99, 208, 193, 298)"
100087.jpg,"(126, 268, 237, 365)"
100088.jpg,"(187, 313, 273, 392)"
100089.jpg,"(157, 429, 234, 504)"
100090.jpg,"(53, 273, 206, 406)"
100091.jpg,"(201, 316, 274, 390)"
100092.jpg,"(165, 282, 216, 388)"
100093.jpg,"(201, 316, 274, 390)"
100094.jpg,"(221, 319, 336, 508)"
100095.jpg,"(169, 277, 237, 339)"
100096.jpg,"(182, 234, 285, 417)"
100097.jpg,"(173, 262, 239, 320)"
100098.jpg,"(87, 235, 227, 365)"
100099.jpg,"(170, 369, 253, 421)"
100100.jpg,"(187, 313, 273, 392)"
100101.jpg,"(176, 284, 195, 310)"
100102.jpg,"(218, 289, 263, 307)"
100103.jpg,"(203, 134, 349, 275)"
100104.jpg,"(238, 354, 281, 412)"
100105.jpg,"(153, 192, 222, 276)"
100106.jpg,"(238, 220, 313, 300)"
100107.jpg,"(138, 276, 204, 385)"
100108.jpg,"(182, 191, 237, 277)"
100109.jpg,"(142, 274, 301, 409)"
100110.jpg,"(213, 248, 317, 400)"
100111.jpg,"(76, 266, 182, 327)"
100112.jpg,"(250, 296, 310, 369)"
100113.jpg,"(264, 267, 314, 328)"
100114.jpg,"(221, 477, 367, 560)"
100115.jpg,"(133, 230, 320, 446)"
100117.jpg,"(354, 425, 404, 491)"
100117.jpg,"(406, 515, 447, 598)"
100118.jpg,"(139, 328, 160, 350)"
100118.jpg,"(206, 276, 279, 328)"
100119.jpg,"(38, 98, 64, 126)"
100119.jpg,"(172, 230, 245, 307)"
100120.jpg,"(209, 276, 261, 319)"
100121.jpg,"(158, 273, 207, 363)"
100122.jpg,"(203, 315, 296, 399)"
100123.jpg,"(236, 265, 281, 321)"
100125.jpg,"(180, 219, 273, 309)"
100126.jpg,"(203, 228, 275, 282)"
100127.jpg,"(85, 336, 124, 347)"
100128.jpg,"(125, 312, 225, 403)"
100129.jpg,"(27, 423, 58, 443)"
100130.jpg,"(75, 351, 140, 418)"
100130.jpg,"(109, 262, 250, 349)"
100131.jpg,"(344, 50, 373, 115)"
100132.jpg,"(145, 287, 207, 372)"
100133.jpg,"(144, 190, 174, 228)"
100133.jpg,"(179, 233, 296, 347)"
100133.jpg,"(184, 155, 195, 171)"
100134.jpg,"(227, 273, 280, 339)"
100135.jpg,"(147, 170, 254, 267)"
100136.jpg,"(217, 274, 274, 320)"
100137.jpg,"(215, 180, 286, 313)"
100137.jpg,"(318, 104, 331, 123)"
100138.jpg,"(207, 322, 269, 369)"
100139.jpg,"(149, 363, 264, 452)"
100140.jpg,"(149, 270, 215, 323)"
100141.jpg,"(141, 88, 167, 173)"
100141.jpg,"(175, 261, 301, 361)"
100141.jpg,"(209, 58, 232, 79)"
100141.jpg,"(298, 327, 336, 369)"
